date,country,currency,amount
2019-10-12,Italy,USD,45277
2019-10-12,Chile,GBP,32410
2019-10-12,Italy,CAD,33494
2019-10-12,Italy,CAD,45418
2019-10-12,Qatar,USD,8116
2019-10-12,United Arab Emirates,EUR,31931
2019-10-12,United Kingdom,CAD,6649
2019-10-12,Qatar,EUR,63317
2019-10-12,Austria,CAD,39672
2019-10-12,Italy,EUR,74015
2019-10-12,Belgium,USD,90716
2019-10-12,Belgium,USD,88628
2019-10-12,Belgium,USD,65682
2019-10-12,Australia,CAD,10567
2019-10-12,Australia,EUR,27090
2019-10-12,Qatar,CAD,31879
2019-10-12,Chile,CAD,73574
2019-10-12,Austria,GBP,35832
2019-10-12,Australia,CAD,45619
2019-10-12,United Arab Emirates,GBP,41815
2019-10-12,United Kingdom,GBP,67204
2019-10-12,Chile,GBP,25177
2019-10-12,United States of America,AUD,17424
2019-10-12,Qatar,GBP,62164
2019-10-12,Latvia,AUD,76774
2019-10-12,United Arab Emirates,CAD,78475
2019-10-12,Australia,GBP,50611
2019-10-12,Qatar,EUR,18673
2019-10-12,Belgium,AUD,65057
2019-10-12,Australia,USD,42745
2019-10-12,Chile,USD,51639
2019-10-12,Australia,USD,23515
2019-10-12,South Africa,EUR,88356
2019-10-12,Belgium,GBP,60598
2019-10-12,Chile,AUD,94783
2019-10-12,Belgium,GBP,21104
2019-10-12,Chile,USD,587
2019-10-12,Italy,CAD,67584
2019-10-12,Qatar,CAD,57235
2019-10-12,Australia,CAD,49079
2019-10-12,Italy,USD,74185
2019-10-12,Latvia,CAD,39967
2019-10-12,United Arab Emirates,USD,20089
2019-10-12,United Kingdom,AUD,85792
2019-10-12,Australia,EUR,56173
2019-10-12,United States of America,GBP,77255
2019-10-12,United Arab Emirates,AUD,68017
2019-10-12,Italy,AUD,52943
2019-10-12,Italy,CAD,70260
2019-10-12,Austria,AUD,7066
2019-10-12,Austria,CAD,28336
2019-10-12,Chile,USD,8303
2019-10-12,United Arab Emirates,AUD,88480
2019-10-12,Belgium,EUR,200
2019-10-12,United States of America,CAD,79440
2019-10-12,United Arab Emirates,AUD,76172
2019-10-12,United States of America,EUR,16340
2019-10-12,Qatar,USD,34981
2019-10-12,South Africa,CAD,3407
2019-10-12,Austria,USD,76753
2019-10-12,Australia,USD,25900
2019-10-12,United States of America,USD,82991
2019-10-12,Latvia,USD,27580
2019-10-12,Qatar,CAD,79960
2019-10-12,Italy,EUR,98623
2019-10-12,Chile,CAD,26112
2019-10-12,Chile,AUD,86130
2019-10-12,Austria,USD,27025
2019-10-12,Latvia,GBP,29888
2019-10-12,Australia,EUR,80340
2019-10-12,United States of America,EUR,18445
2019-10-12,Italy,CAD,88259
2019-10-12,Belgium,EUR,94215
2019-10-12,United Arab Emirates,USD,88002
2019-10-12,Latvia,GBP,11554
2019-10-12,Austria,USD,33526
2019-10-12,Chile,AUD,2722
2019-10-12,United Arab Emirates,GBP,9155
2019-10-12,Italy,CAD,86257
2019-10-12,Belgium,GBP,76849
2019-10-12,Latvia,GBP,98848
2019-10-12,United States of America,AUD,46504
2019-10-12,Austria,AUD,76511
2019-10-12,United Kingdom,USD,73011
2019-10-12,Qatar,AUD,81963
2019-10-12,Italy,GBP,10943
2019-10-12,Qatar,CAD,75096
2019-10-12,South Africa,GBP,59130
2019-10-12,United Arab Emirates,CAD,13394
2019-10-12,Australia,USD,11507
2019-10-12,Latvia,CAD,12479
2019-10-12,Latvia,USD,46077
2019-10-12,South Africa,GBP,50000
2019-10-12,Australia,CAD,85220
2019-10-12,Australia,EUR,58937
2019-10-12,Chile,USD,33331
2019-10-12,United Kingdom,AUD,57584
2019-10-12,Chile,AUD,35787
2019-10-12,Belgium,USD,13222
2019-10-12,Australia,GBP,24635
2019-10-12,Qatar,USD,2865
2019-10-12,United Kingdom,CAD,33624
2019-10-12,United Arab Emirates,GBP,11152
2019-10-12,United States of America,CAD,4706
2019-10-12,Australia,USD,90483
2019-10-12,Australia,GBP,40955
2019-10-12,United Arab Emirates,CAD,30512
2019-10-12,Latvia,AUD,28188
2019-10-12,Chile,CAD,42633
2019-10-12,United Kingdom,EUR,82975
2019-10-12,Belgium,AUD,64214
2019-10-12,Qatar,AUD,76480
2019-10-12,South Africa,AUD,80852
2019-10-12,Latvia,AUD,2074
2019-10-12,Belgium,CAD,76499
2019-10-12,Australia,CAD,82027
2019-10-12,United Arab Emirates,CAD,78935
2019-10-12,United States of America,USD,50667
2019-10-12,United Kingdom,AUD,75608
2019-10-12,United Kingdom,USD,40759
2019-10-12,United Arab Emirates,EUR,31717
2019-10-12,Latvia,CAD,55070
2019-10-12,Italy,EUR,74047
2019-10-12,Australia,USD,70705
2019-10-12,Austria,EUR,40532
2019-10-12,United Kingdom,EUR,71828
2019-10-12,South Africa,CAD,15271
2019-10-12,Latvia,GBP,20680
2019-10-12,United Arab Emirates,EUR,7740
2019-10-12,Australia,CAD,19550
2019-10-12,Chile,GBP,37030
2019-10-12,Belgium,EUR,29938
2019-10-12,Qatar,GBP,23108
2019-10-12,Chile,CAD,90335
2019-10-12,United Arab Emirates,GBP,3493
2019-10-12,Qatar,AUD,12556
2019-10-12,Chile,AUD,28756
2019-10-12,United Arab Emirates,EUR,65133
2019-10-12,Chile,USD,88838
2019-10-12,Australia,AUD,75867
2019-10-12,Austria,GBP,90965
2019-10-12,Chile,GBP,60790
2019-10-12,Belgium,EUR,70075
2019-10-12,Austria,EUR,2300
2019-10-12,Qatar,USD,42985
2019-10-12,Chile,EUR,49210
2019-10-12,Australia,AUD,10189
2019-10-12,Italy,AUD,35101
2019-10-12,South Africa,CAD,81080
2019-10-12,United Kingdom,USD,41593
2019-10-12,South Africa,AUD,45510
2019-10-12,Latvia,CAD,40141
2019-10-12,Qatar,AUD,74850
2019-10-12,Qatar,CAD,74942
2019-10-12,Latvia,EUR,67558
2019-10-12,United Kingdom,GBP,77435
2019-10-12,United Kingdom,AUD,9771
2019-10-12,Latvia,CAD,88890
2019-10-12,Belgium,AUD,90178
2019-10-12,South Africa,AUD,80174
2019-10-12,United Kingdom,EUR,46194
2019-10-12,United Kingdom,EUR,14796
2019-10-12,Austria,EUR,75680
2019-10-12,United Arab Emirates,AUD,5577
2019-10-12,Australia,CAD,15166
2019-10-12,United States of America,EUR,72043
2019-10-12,Austria,USD,39728
2019-10-12,South Africa,EUR,70851
2019-10-12,United States of America,CAD,27728
2019-10-12,United Kingdom,GBP,76486
2019-10-12,Latvia,USD,49176
2019-10-12,United States of America,EUR,69123
2019-10-12,South Africa,AUD,86240
2019-10-12,Qatar,EUR,20287
2019-10-12,Belgium,USD,59988
2019-10-12,Australia,GBP,98593
2019-10-12,Italy,GBP,31493
2019-10-12,Austria,EUR,57546
2019-10-12,Austria,EUR,62732
2019-10-12,United States of America,AUD,28681
2019-10-12,Australia,AUD,58508
2019-10-12,Chile,AUD,13374
2019-10-12,United Arab Emirates,EUR,95609
2019-10-12,Latvia,EUR,44541
2019-10-12,United States of America,EUR,81362
2019-10-12,United Arab Emirates,USD,53203
2019-10-12,Australia,CAD,13692
2019-10-12,Austria,CAD,33275
2019-10-12,United Kingdom,CAD,95064
2019-10-12,Latvia,GBP,21292
2019-10-12,United Kingdom,EUR,22033
2019-10-12,United States of America,EUR,70991
2019-10-12,United Kingdom,GBP,9665
2019-10-12,United Arab Emirates,GBP,12386
2019-10-12,Chile,GBP,35433
2019-10-12,United Kingdom,EUR,88257
2019-10-12,Chile,GBP,42585
2019-10-12,United Arab Emirates,EUR,95560
2019-10-12,Austria,AUD,49871
2019-10-12,United Arab Emirates,GBP,38186
2019-10-12,Chile,GBP,61848
2019-10-12,South Africa,GBP,79763
2019-10-12,Qatar,EUR,74725
2019-10-12,Chile,GBP,57850
2019-10-12,United Kingdom,USD,59876
2019-10-12,Belgium,USD,58544
2019-10-12,Austria,AUD,21057
2019-10-12,United Kingdom,EUR,75634
2019-10-12,United States of America,USD,85245
2019-10-12,Latvia,CAD,37675
2019-10-12,Latvia,CAD,86804
2019-10-12,United Arab Emirates,USD,83043
2019-10-12,United Kingdom,USD,52738
2019-10-12,South Africa,CAD,4364
2019-10-12,Italy,GBP,3646
2019-10-12,Belgium,AUD,4211
2019-10-12,South Africa,EUR,24788
2019-10-12,Australia,CAD,9234
2019-10-12,Italy,CAD,5137
2019-10-12,Latvia,CAD,3673
2019-10-12,United Arab Emirates,AUD,2460
2019-10-12,United States of America,USD,37137
2019-10-12,South Africa,CAD,83366
2019-10-12,Austria,EUR,65735
2019-10-12,Austria,CAD,74509
2019-10-12,Qatar,AUD,71493
2019-10-12,Qatar,AUD,2761
2019-10-12,United Kingdom,GBP,46627
2019-10-12,Austria,CAD,63669
2019-10-12,Qatar,EUR,24099
2019-10-12,South Africa,USD,99880
2019-10-12,United Kingdom,AUD,22589
2019-10-12,United States of America,AUD,15714
2019-10-12,South Africa,USD,52809
2019-10-12,Qatar,GBP,90435
2019-10-12,United States of America,AUD,59566
2019-10-12,Belgium,AUD,84265
2019-10-12,United Kingdom,GBP,75283
2019-10-12,United States of America,USD,67278
2019-10-12,Latvia,USD,83370
2019-10-12,Australia,USD,6884
2019-10-12,Belgium,CAD,36113
2019-10-12,Austria,GBP,27085
2019-10-12,Austria,AUD,64397
2019-10-12,Latvia,AUD,96827
2019-10-12,Chile,USD,53194
2019-10-12,Qatar,EUR,55202
2019-10-12,South Africa,CAD,89382
2019-10-12,Australia,GBP,58074
2019-10-12,Belgium,USD,5664
2019-10-12,Qatar,USD,66185
2019-10-12,United States of America,USD,80650
2019-10-12,Austria,EUR,54571
2019-10-12,Belgium,USD,23656
2019-10-12,Austria,AUD,17043
2019-10-12,Austria,AUD,25084
2019-10-12,South Africa,CAD,79714
2019-10-12,Qatar,EUR,13767
2019-10-12,Latvia,AUD,22281
2019-10-12,United States of America,CAD,56017
2019-10-12,Austria,CAD,17435
2019-10-12,United Arab Emirates,USD,10258
2019-10-12,Austria,CAD,98111
2019-10-12,United States of America,GBP,83896
2019-10-12,Belgium,USD,46572
2019-10-12,United Arab Emirates,CAD,4348
2019-10-12,Austria,USD,25606
2019-10-12,Australia,AUD,74749
2019-10-12,United Arab Emirates,USD,41572
2019-10-12,Latvia,GBP,50428
2019-10-12,Belgium,AUD,74480
2019-10-12,Australia,CAD,96172
2019-10-12,United States of America,CAD,48735
2019-10-12,Latvia,USD,42005
2019-10-12,Italy,GBP,235
2019-10-12,Italy,AUD,48650
2019-10-12,United States of America,EUR,36843
2019-10-12,United States of America,CAD,18526
2019-10-12,United Kingdom,GBP,50771
2019-10-12,Austria,AUD,5648
2019-10-12,Latvia,GBP,41220
2019-10-12,United Kingdom,CAD,74905
2019-10-12,United Arab Emirates,AUD,44165
2019-10-12,Belgium,GBP,86916
2019-10-12,Chile,AUD,47293
2019-10-12,Qatar,USD,90338
2019-10-12,Austria,GBP,68385
2019-10-12,Italy,USD,45193
2019-10-12,Chile,CAD,20942
2019-10-12,Austria,GBP,5879
2019-10-12,Australia,AUD,68445
2019-10-12,United Kingdom,CAD,12553
2019-10-12,Qatar,GBP,28728
2019-10-12,Latvia,CAD,48592
2019-10-12,Australia,GBP,9530
2019-10-12,Qatar,GBP,19144
2019-10-12,Australia,USD,51624
2019-10-12,Austria,AUD,22851
2019-10-12,Qatar,USD,45593
2019-10-12,Chile,AUD,92323
2019-10-12,Austria,AUD,1508
2019-10-12,Italy,AUD,44151
2019-10-12,Latvia,GBP,27826
2019-10-12,United Kingdom,GBP,8425
2019-10-12,United States of America,USD,86679
2019-10-12,United Kingdom,CAD,50556
2019-10-12,Latvia,CAD,29269
2019-10-12,Austria,GBP,11954
2019-10-12,South Africa,USD,29092
2019-10-12,South Africa,CAD,60816
2019-10-12,Latvia,USD,70125
2019-10-12,Qatar,EUR,57080
2019-10-12,Latvia,USD,84881
2019-10-12,Belgium,USD,21413
2019-10-12,Qatar,GBP,61918
2019-10-12,Chile,GBP,87061
2019-10-12,Chile,USD,5409
2019-10-12,Belgium,USD,10727
2019-10-12,United Arab Emirates,EUR,86912
2019-10-12,Austria,EUR,8663
2019-10-12,United States of America,AUD,31323
2019-10-12,Qatar,EUR,98304
2019-10-12,Italy,GBP,80881
2019-10-12,United States of America,GBP,33638
2019-10-12,Latvia,AUD,65825
2019-10-12,United Kingdom,CAD,82024
2019-10-12,Belgium,EUR,25215
2019-10-12,Australia,AUD,12503
2019-10-12,Latvia,USD,80791
2019-10-12,Latvia,USD,35065
2019-10-12,Italy,CAD,78104
2019-10-12,Chile,CAD,95180
2019-10-12,Belgium,EUR,90712
2019-10-12,Belgium,CAD,12221
2019-10-12,Austria,GBP,20786
2019-10-12,Austria,USD,91653
2019-10-12,Italy,AUD,28248
2019-10-12,Belgium,GBP,51856
2019-10-12,Austria,AUD,21606
2019-10-12,Australia,EUR,26876
2019-10-12,South Africa,CAD,38425
2019-10-12,Austria,AUD,62373
2019-10-12,Belgium,CAD,28943
2019-10-12,United States of America,EUR,48692
2019-10-12,Chile,GBP,72269
2019-10-12,United Kingdom,CAD,19324
2019-10-12,United Kingdom,CAD,42600
2019-10-12,Italy,EUR,12990
2019-10-12,United States of America,AUD,45163
2019-10-12,United Kingdom,EUR,89479
2019-10-12,Italy,CAD,13404
2019-10-12,Australia,EUR,89337
2019-10-12,Latvia,CAD,66747
2019-10-12,Italy,USD,63222
2019-10-12,Qatar,AUD,45335
2019-10-12,United States of America,GBP,29202
2019-10-12,Qatar,USD,97683
2019-10-12,United States of America,AUD,65474
2019-10-12,Chile,GBP,49724
2019-10-12,Chile,EUR,60125
2019-10-12,Qatar,CAD,47555
2019-10-12,Belgium,AUD,41413
2019-10-12,Qatar,USD,71092
2019-10-12,United States of America,AUD,81369
2019-10-12,Italy,CAD,97273
2019-10-12,Qatar,CAD,56798
2019-10-12,Qatar,CAD,49074
2019-10-12,Belgium,USD,67104
2019-10-12,Chile,GBP,82417
2019-10-12,South Africa,AUD,47673
2019-10-12,United Kingdom,AUD,53835
2019-10-12,Austria,AUD,70917
2019-10-12,Belgium,CAD,46980
2019-10-12,Italy,AUD,92413
2019-10-12,South Africa,GBP,95013
2019-10-12,Austria,GBP,55916
2019-10-12,South Africa,EUR,16747
2019-10-12,Italy,USD,9835
2019-10-12,Chile,AUD,94628
2019-10-12,Chile,AUD,3223
2019-10-12,United Arab Emirates,EUR,50328
2019-10-12,Latvia,EUR,31645
2019-10-12,Australia,USD,87491
2019-10-12,Latvia,CAD,59115
2019-10-12,Latvia,USD,1179
2019-10-12,Australia,EUR,91799
2019-10-12,Australia,CAD,9186
2019-10-12,Qatar,EUR,64522
2019-10-12,Belgium,GBP,67474
2019-10-12,Italy,AUD,42885
2019-10-12,Australia,CAD,84573
2019-10-12,Latvia,EUR,39105
2019-10-12,Latvia,USD,78413
2019-10-12,South Africa,USD,6002
2019-10-12,Italy,GBP,35317
2019-10-12,Austria,AUD,17508
2019-10-12,Italy,CAD,56302
2019-10-12,South Africa,GBP,61610
2019-10-12,Belgium,CAD,56469
2019-10-12,Latvia,EUR,76965
2019-10-12,United Arab Emirates,CAD,27222
2019-10-12,Austria,USD,96704
2019-10-12,Australia,AUD,26995
2019-10-12,Latvia,GBP,60498
2019-10-12,United Arab Emirates,AUD,35781
2019-10-12,United States of America,GBP,73139
2019-10-12,South Africa,USD,68969
2019-10-13,Qatar,GBP,57412
2019-10-13,Austria,EUR,23787
2019-10-13,Australia,CAD,21073
2019-10-13,Latvia,USD,6671
2019-10-13,United States of America,GBP,18919
2019-10-13,Italy,GBP,93328
2019-10-13,Qatar,USD,48100
2019-10-13,South Africa,GBP,37221
2019-10-13,United Kingdom,GBP,4908
2019-10-13,United States of America,EUR,3375
2019-10-13,Chile,EUR,5532
2019-10-13,Austria,CAD,41786
2019-10-13,Austria,GBP,97789
2019-10-13,Austria,AUD,69947
2019-10-13,Italy,CAD,4143
2019-10-13,United Kingdom,AUD,39755
2019-10-13,United States of America,GBP,5587
2019-10-13,Australia,GBP,33399
2019-10-13,United Kingdom,GBP,32682
2019-10-13,South Africa,USD,27033
2019-10-13,South Africa,EUR,83446
2019-10-13,Belgium,CAD,70823
2019-10-13,United Kingdom,AUD,85896
2019-10-13,South Africa,AUD,69854
2019-10-13,South Africa,AUD,46276
2019-10-13,Chile,GBP,97734
2019-10-13,United States of America,USD,51726
2019-10-13,Austria,CAD,36014
2019-10-13,Australia,USD,4371
2019-10-13,Austria,CAD,54289
2019-10-13,United States of America,USD,40749
2019-10-13,United States of America,EUR,25867
